NAME,XCOORDS,YCOORDS,OU,SYSTEM
199-D4-5,572740.5,151556.5,100-HR-3-D,DX
199-D4-50,572687.3,151454,100-HR-3-D,DX
199-D4-51,572686.6,151441.4,100-HR-3-D,DX
199-D4-52,572674.9,151436.7,100-HR-3-D,DX
199-D4-53,572674.1,151424.6,100-HR-3-D,DX
199-D4-54,572662.4,151419.7,100-HR-3-D,DX
199-D4-55,572659,151414.6,100-HR-3-D,DX
199-D4-56,572657.7,151402.3,100-HR-3-D,DX
199-D4-57,572645.9,151397.9,100-HR-3-D,DX
199-D4-58,572644.8,151385.4,100-HR-3-D,DX
199-D4-59,572633.3,151380.8,100-HR-3-D,DX
199-D4-6,572733.3,151577.9,100-HR-3-D,DX
199-D4-60,572632.4,151368.2,100-HR-3-D,DX
199-D4-61,572620.7,151363.7,100-HR-3-D,DX
199-D4-62,572619.5,151351.1,100-HR-3-D,DX
199-D4-63,572607.6,151346.8,100-HR-3-D,DX
199-D4-64,572606.9,151333.9,100-HR-3-D,DX
199-D4-65,572594.8,151329.7,100-HR-3-D,DX
199-D4-66,572594.3,151316.9,100-HR-3-D,DX
199-D4-67,572581.8,151312.8,100-HR-3-D,DX
199-D4-68,572581.3,151299.8,100-HR-3-D,DX
199-D4-69,572569,151295.7,100-HR-3-D,DX
199-D4-7,572760.9,151551.2,100-HR-3-D,DX
199-D4-70,572568.8,151282.7,100-HR-3-D,DX
199-D4-71,572556.3,151278.5,100-HR-3-D,DX
199-D4-72,572554.4,151265.8,100-HR-3-D,DX
199-D4-73,572542.2,151262.7,100-HR-3-D,DX
199-D4-74,572539.8,151249.8,100-HR-3-D,DX
199-D4-75,572527.8,151246.9,100-HR-3-D,DX
199-D4-76,572526.1,151234.2,100-HR-3-D,DX
199-D4-77,572513.3,151231,100-HR-3-D,DX
199-D4-78,572511.3,151218.3,100-HR-3-D,DX
199-D4-79,572498.2,151214,100-HR-3-D,DX
199-D4-8,572763.3,151552.6,100-HR-3-D,DX
199-D4-80,572496.9,151202.6,100-HR-3-D,DX
199-D4-81,572484.4,151199.6,100-HR-3-D,DX
199-D4-82,572470.3,151183.9,100-HR-3-D,DX
199-D4-83,572859.4,151723.4,100-HR-3-D,DX
199-D4-84,572568,151433.5,100-HR-3-D,DX
199-D4-85,572486.2,151324.2,100-HR-3-D,DX
199-D4-86,572389.1,151202.1,100-HR-3-D,DX
199-D4-9,572758.2,151543.3,100-HR-3-D,DX
199-D4-92,572714.1,151486.3,100-HR-3-D,DX
199-D4-93,572710.4,151491.2,100-HR-3-D,DX
199-D4-95,572612.8,151226.7,100-HR-3-D,DX
199-D4-96,572777,151519.8,100-HR-3-D,DX
199-D4-97,572906.2,151625.3,100-HR-3-D,DX
199-D4-98,572574.5,151481.6,100-HR-3-D,DX
199-D4-99,572527.4,151377.1,100-HR-3-D,DX
199-D5-101,572943,151521.5,100-HR-3-D,DX
199-D5-103,573505.9,151460.9,100-HR-3-D,DX
199-D5-104,573265.5,151422.4,100-HR-3-D,DX
199-D5-106,573503.7,151598,100-HR-3-D,DX
199-D5-107,572932.4,151283.1,100-HR-3-D,DX
199-D5-108,572923.3,151222.9,100-HR-3-D,DX
199-D5-109,572917.4,151285.6,100-HR-3-D,DX
199-D5-110,572931.6,151277.6,100-HR-3-D,DX
199-D5-114,572918,151223.8,100-HR-3-D,DX
199-D5-115,572923.2,151221.1,100-HR-3-D,DX
199-D5-123,573824.2,151639.4,100-HR-3-D,DX
199-D5-125,573667.4,151746.2,100-HR-3-D,DX
199-D5-126,573705.7,151843.3,100-HR-3-D,DX
199-D5-127,572992.3,151428.3,100-HR-3-D,DX
199-D5-13,573535.5,151955.2,100-HR-3-D,DX
