"NAME","WELL_ID","TYPE","STATUS","TD","BOH","ZCOORDS","YCOORDS","XCOORDS","OU"
"699-10-E5B","A8195","BORING","DECOMMISSIONED-V",37.1856,NA,141.62,126512.173,591441.052,"300-FF-5"
"699-10-E6","A8196","UNCLASSIFIED","DECOMMISSIONED-V",39.624,NA,144.506,126495.638,591847.214,"300-FF-5"
"699-10-E7","A8197","VADOSE WELL","IN-USE",39.624,33.40608,143.654,126660.095,592156.973,"300-FF-5"
"699-11-0A","A8198","UNCLASSIFIED","DECOMMISSIONED-V",NA,NA,NA,126934.919,589858.977,"300-FF-5"
"699-11-0B","A8199","BORING","DECOMMISSIONED-V",18.288,NA,129.249,126960.906,589779.969,"300-FF-5"
"699-11-1A","A8200","UNCLASSIFIED","CANDIDATE FOR DECOMMISSIONING",NA,NA,NA,127035.403,589719.415,"300-FF-5"
"699-11-1B","A8201","UNCLASSIFIED","CANDIDATE FOR DECOMMISSIONING",17.6784,NA,136.229,127027.428,589593.873,"300-FF-5"
"699-11-1C","A8202","UNCLASSIFIED","DECOMMISSIONED-V",17.6784,NA,131.078,126923.851,589609.404,"300-FF-5"
"699-11-1D","A8203","BORING","DECOMMISSIONED-V",17.9832,NA,136.076,126877.792,589487.628,"300-FF-5"
"699-11-1E","A8204","BORING","DECOMMISSIONED-V",17.9832,NA,136.229,126792.734,589585.394,"300-FF-5"
"699-11-1H","A8205","UNCLASSIFIED","CANDIDATE FOR DECOMMISSIONING",17.6784,NA,135.65,127027.2,589513.11,"300-FF-5"
"699-11-1J","A8206","UNCLASSIFIED","DECOMMISSIONED-V",18.288,NA,134.583,127027.644,589670.064,"300-FF-5"
"699-11-1K","A8207","UNCLASSIFIED","DECOMMISSIONED-V",17.6784,NA,130.438,126893.642,589703.968,"300-FF-5"
"699-11-2","A8208","BORING","DECOMMISSIONED-V",17.6784,NA,136.777,126782.953,589359.894,"300-FF-5"
"699-11-3","A8209","UNCLASSIFIED","DECOMMISSIONED-V",17.6784,NA,137.479,126855.622,589192.066,"300-FF-5"
"699-11-4","A8210","VADOSE WELL","IN-USE",28.3464,11.94816,138.563,126844.643,588769.326,"300-FF-5"
"699-11-5","A8211","VADOSE WELL","DECOMMISSIONED-V",28.3464,NA,140.663,126844.306,588511.255,"300-FF-5"
"699-11-6","A8212","VADOSE WELL","DECOMMISSIONED-V",35.052,NA,142.481,126699.784,588172.327,"300-FF-5"
"699-11-23A","A8213","VADOSE WELL","CANDIDATE FOR DECOMMISSIONING",230.124,NA,167.258,126709.03,582892.55,"200-PO-1"
"699-11-23B","A8214","VADOSE WELL","DECOMMISSIONED-V",NA,NA,NA,NA,NA,""
"699-11-29","A8215","UNCLASSIFIED","DECOMMISSIONED-V",250.2408,47.67072,167.989,126937.161,581155.338,"200-PO-1"
"699-11-45B","A8216","UNCLASSIFIED","DECOMMISSIONED-V",31.0896,31.0896,177.287,126816.886,576282.477,"200-PO-1"
"699-11-45C","A8217","UNCLASSIFIED","DECOMMISSIONED-V",53.34,53.34,177.241,126815.642,576273.701,"200-PO-1"
"699-11-E3A","A8218","BORING","DECOMMISSIONED-V",37.4904,NA,135.037,126748.738,590976.28,"300-FF-5"
"699-11-E3B","A8219","BORING","DECOMMISSIONED-V",91.7448,NA,135.068,126730.746,590976.329,"300-FF-5"
"699-11-E3C","A8220","BORING","DECOMMISSIONED-V",91.44,NA,135.799,126793.696,590965.23,"300-FF-5"
"699-11-E3D","A8221","BORING","DECOMMISSIONED-V",91.44,NA,NA,126741.984,590960.137,"300-FF-5"
"699-11-E4A","A8222","BORING","DECOMMISSIONED-V",23.7744,NA,139.426,126858.75,591095.267,"300-FF-5"
"699-11-E4B","A8223","BORING","DECOMMISSIONED-V",27.432,NA,140.28,126762.01,591254.347,"300-FF-5"
"699-11-E4C","A8224","BORING","DECOMMISSIONED-V",91.44,NA,136.165,126736.65,591015.955,"300-FF-5"
"699-11-E4D","A8225","BORING","DECOMMISSIONED-V",21.336,NA,137.994,126782.847,591070.716,"300-FF-5"
"699-11-E4E","A8226","BORING","DECOMMISSIONED-V",199.9488,NA,135.311,126739.608,590983.014,"300-FF-5"
"699-11-E5A","A8227","GROUNDWATER WELL","IN-USE",36.8808,NA,140.81,126875.69,591350.805,"300-FF-5"
"699-11-E8A","A8228","VADOSE WELL","DECOMMISSIONED-V",38.1,NA,139.96,126827.653,592481.49,"300-FF-5"
"699-11-E8B","A8229","VADOSE WELL","IN-USE",199.9488,NA,137.871,126747.575,592318.318,"300-FF-5"
