KEY,WELL_py,ITER_py,LAG_py,lag_source,p_trend_py,p_interp,p_event,AIC_py,BIC_py,logLik,n_obs,n_cens,model_type,fit_ok,beta_intercept,beta_interp,beta_event,sigma,WELL_r,ITER_r,CLASS,p_trend_r,AIC_r,BIC_r,LAG_r,_merge,LAG_diff,p_trend_diff,AIC_diff,BIC_diff
199-D4-22__ITER2,199-D4-22,2,21.0,ULAG,0.21736927105869464,0.08045015377988193,1.0,80.40824253593841,83.07265155628882,-38.20412126796921,28,0,INTERP+EVENT,True,-46.65732986672142,0.43405410730093635,0.0,1.270927863900908,199-D4-22,2.0,Trend_Summary,7.45240785748891e-08,INTERP + EVENT,INTERP + EVENT,21.0,both,0.0,0.21736919653461606,,
199-D4-23__ITER1,199-D4-23,1,1.0,ULAG,0.48644517312968505,0.70222511289594,1.0,30.937508503585015,31.54267868957311,-13.468754251792507,10,0,INTERP+EVENT,True,-21.998202447903928,0.2146837988972656,0.0,0.28442151345057487,199-D4-23,1.0,Trend_Summary,0.513506743813254,INTERP + EVENT,INTERP + EVENT,1.0,both,0.0,-0.02706157068356896,,
199-D4-23__ITER2,199-D4-23,2,1.0,ULAG,0.1092510391973206,0.03178507052827201,1.0,76.9852546325183,79.97826975545127,-36.49262731625915,33,18,INTERP+EVENT,True,-62.956439964664824,0.5400847890862015,0.0,0.9285458539171877,199-D4-23,2.0,Trend_Summary,,,,,both,,,,
199-D4-27__ITER1,199-D4-27,1,27.0,ULAG,0.3197025448459504,0.1215283880874196,1.0,82.62380377529891,85.21547750730757,-39.311901887649455,27,2,INTERP+EVENT,True,75.49374259835606,-0.6052435458000333,0.0,1.426195174379483,199-D4-27,1.0,Trend_Summary,2.30847921369737e-05,INTERP + EVENT,INTERP + EVENT,27.0,both,0.0,0.3196794600538134,,
199-D4-27__ITER2,199-D4-27,2,27.0,ULAG,0.9993055267184608,0.9905955562772047,1.0,32.37738123501383,32.982551421001915,-14.188690617506913,10,0,INTERP+EVENT,True,0.5979093182198816,0.014097161902798035,0.0,0.8277900847819983,199-D4-27,2.0,Trend_Summary,0.254333606129071,INTERP + EVENT,INTERP + EVENT,27.0,both,0.0,0.7449719205893899,,
199-D4-31__ITER1,199-D4-31,1,20.0,ULAG,0.04219369494426728,0.007107728459474036,1.0,65.77808063781146,68.13418829850735,-30.889040318905728,24,0,INTERP+EVENT,True,77.25923307601362,-0.6090062064266734,0.0,0.8453316375856119,199-D4-31,1.0,Trend_Summary,0.0005809160041435,INTERP + EVENT,INTERP + EVENT,20.0,both,0.0,0.04161277894012378,,
199-D4-31__ITER2,199-D4-31,2,20.0,ULAG,0.36525040092786953,0.13858818042885407,1.0,38.878057601978995,40.00795631690207,-17.439028800989497,13,0,INTERP+EVENT,True,-4.5333225862468804,0.06464434768011097,0.0,0.18796672946194537,199-D4-31,2.0,Trend_Summary,0.748506218521843,INTERP + EVENT,INTERP + EVENT,20.0,both,0.0,-0.3832558175939734,,
199-D4-34__ITER1,199-D4-34,1,,NONE,,,,,,,15,0,INTERP+EVENT,False,,,,,199-D4-34,1.0,Trend_Summary,8.19251483800132e-05,INTERP + EVENT,INTERP + EVENT,2.0,both,,,,
199-D4-34__ITER2,199-D4-34,2,,NONE,,,,,,,120,1,INTERP+EVENT,False,,,,,199-D4-34,2.0,Trend_Summary,1.78990156030068e-12,INTERP + EVENT,INTERP + EVENT,10.0,both,,,,
199-D4-38__ITER1,199-D4-38,1,1.0,ULAG,0.8645925047615188,0.8584330927971484,1.0,29.249899646062975,29.644348800735415,-12.624949823031487,9,0,INTERP+EVENT,True,-27.246259294492535,0.27384874180525665,0.0,0.458213542862487,199-D4-38,1.0,Trend_Summary,0.875361169352476,INTERP + EVENT,INTERP + EVENT,1.0,both,0.0,-0.010768664590957155,,
199-D4-38__ITER2,199-D4-38,2,1.0,ULAG,1.675014549284981e-08,3.428303506368836e-09,1.0,522.501194660797,528.9740785864568,-259.2505973303985,188,35,INTERP+EVENT,True,72.68263556771001,-0.607736830248503,0.0,1.1488013969434032,199-D4-38,2.0,Trend_Summary,2.37365682664858e-13,INTERP + EVENT,INTERP + EVENT,1.0,both,0.0,1.6749908127167146e-08,,
